timestamp,source_ip,destination_ip,protocol,packet_size
1743407977.392966000,192.168.1.1,192.168.1.255,17,363
1743407977.495633000,,,,42
1743407977.495674000,,,,42
1743407977.604722000,192.168.1.4,52.178.17.234,6,172
1743407977.604934000,192.168.1.4,52.178.17.234,6,4510
1743407977.802641000,52.178.17.234,192.168.1.4,6,54
1743407977.802641000,52.178.17.234,192.168.1.4,6,54
1743407977.871542000,,,,75
1743407977.884621000,,,,86
1743407977.935539000,52.178.17.234,192.168.1.4,6,153
1743407977.991229000,192.168.1.4,52.178.17.234,6,54
1743407980.772797000,52.178.17.234,192.168.1.4,6,54
1743407980.772797000,52.178.17.234,192.168.1.4,6,54
1743407980.793191000,,,,86
1743407980.793360000,,,,86
1743407980.938272000,,,,75
1743407980.951472000,,,,86
1743407981.387938000,,,,141
1743407981.399957000,,,,97
1743407981.500007000,,,,112
1743407981.511522000,,,,281
1743407981.514680000,192.168.1.4,52.178.17.234,6,66
1743407981.694200000,52.178.17.234,192.168.1.4,6,66
1743407983.872180000,,,,1292
1743407983.872180000,,,,360
1743407983.872180000,,,,994
1743407983.872180000,,,,107
1743407983.872180000,,,,86
1743407983.873408000,,,,140
1743407983.873623000,,,,93
1743407983.874217000,,,,1288
1743407983.874521000,,,,1033
1743407983.884721000,,,,182
1743407983.885796000,,,,87
1743407983.886661000,,,,91
1743407983.887215000,,,,94
1743407983.937511000,,,,1279
1743407983.937511000,,,,106
1743407983.938422000,,,,97
1743407983.951797000,,,,42
1743407983.974511000,,,,86
1743407983.995172000,52.178.17.234,192.168.1.4,6,54
1743407983.995427000,52.178.17.234,192.168.1.4,6,54
1743407983.995811000,52.178.17.234,192.168.1.4,6,54
1743407983.996264000,52.178.17.234,192.168.1.4,6,54
1743407983.997537000,52.178.17.234,192.168.1.4,6,54
1743407984.458490000,192.168.1.1,192.168.1.255,17,363
1743407984.818421000,192.168.1.4,192.168.1.1,17,110
1743407987.047330000,192.168.1.4,52.178.17.234,6,172
1743407987.047433000,192.168.1.4,52.178.17.234,6,2259
1743407987.223527000,52.178.17.234,192.168.1.4,6,54
1743407987.283102000,192.168.1.4,20.62.154.72,6,54
1743407987.531221000,20.62.154.72,192.168.1.4,6,54
1743407987.531299000,192.168.1.4,20.62.154.72,6,54
